seed,source,redshift,log_a,p,s,populated_bins,weighted_log_residual,peak_height_max_relative_error,collapse_threshold
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.3661.000.mf.out,0.366101,-0.16429623102831517,0.8510234098230224,0.30417813472082933,47,0.023539926398293096,0.000908272336416216,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.3260.000.mf.out,0.325966,-0.16202483514593632,0.8636813712731519,0.29971851688849166,48,0.023848828518709515,0.0008192246274911774,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.2867.000.mf.out,0.286745,-0.16009506001086418,0.8743911095315063,0.2961246712354348,49,0.024313538073244247,0.0007392546934261723,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.2484.000.mf.out,0.248384,-0.15598161298354313,0.8887457518130013,0.2924043598041814,49,0.02451498142752003,0.0006413592906628907,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.2108.000.mf.out,0.210832,-0.15250419016190214,0.9019752479327613,0.2892726637021778,50,0.02467964721983355,0.0005579845888039614,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.1740.000.mf.out,0.174043,-0.14869958453739293,0.9142831147955014,0.2868384140286119,50,0.025143788029079506,0.00047110020351159854,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.1380.000.mf.out,0.137969,-0.14520954582303613,0.9236134171944177,0.28507929510848207,50,0.025681458265391782,0.0003813239164203175,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.1026.000.mf.out,0.102568,-0.14376854113360324,0.9298043712005054,0.2838405032714725,51,0.026361345856509802,0.0002906257567738546,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.0678.000.mf.out,0.067799,-0.1434938783818574,0.9327213781849534,0.2831868350823282,53,0.0271662387223814,0.00023149428838431518,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.0336.000.mf.out,0.033622,-0.14479001030141675,0.931868306879766,0.28324694909138226,54,0.027920023071312864,5.764931193907863e-05,1.686
3,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed004253/pinocchio.0.0000.000.mf.out,0.0,-0.14847131437425032,0.9241107643315488,0.284601472130223,54,0.0294243073219058,1.7256706116297593e-05,1.686
4,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed005237/pinocchio.0.4926.000.mf.out,0.492563,-0.1751240232006065,0.802080012995171,0.32229514378459745,46,0.022671257329652375,0.0011690484547293156,1.686
4,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed005237/pinocchio.0.4493.000.mf.out,0.449338,-0.17488853962122863,0.8111238568712301,0.31683502820837234,46,0.023275136349500836,0.0010990089412401538,1.686
4,/leonardo_scratch/large/userexternal/tbatalha/AB-MAH/Sims/L3870N2160/fullsky_z0493_ensemble/seed005237/pinocchio.0.4072.000.mf.out,0.407205,-0.17138252251203434,0.8275300364202185,0.31070084595994796,47,0.0235710014357335,0.0010023737026705337,1.686
