map,z_lo,z_hi,ell_min,ell_max,ell_effective,low_theory_cl,low_observed_cl,high_observed_cl,low_observed_over_theory,high_observed_over_theory,high_over_low_observed
summed,,,920,939,929.535752688172,7.623436361495047e-09,7.74712336107347e-09,7.71353378092842e-09,1.0162245729764532,1.0118184785916813,0.9956642512866355
summed,,,940,959,949.535,7.3452489169702634e-09,7.349990917319307e-09,7.318047956094719e-09,1.0006455874270084,0.9962967952232769,0.9956540135105041
summed,,,960,979,969.5342783505155,7.082761153684769e-09,7.1679372732364e-09,7.1282036963541235e-09,1.0120258353632776,1.0064159360570437,0.9944567627522867
summed,,,980,999,989.5335858585859,6.834830854416028e-09,6.929363548063237e-09,6.876778443133307e-09,1.0138310216683901,1.0061373265280116,0.9924112648203272
summed,,,1000,1019,1009.5329207920792,6.600842610601811e-09,6.544992321623667e-09,6.525542250805927e-09,0.9915389152153936,0.9885923109763377,0.9970282515453105
summed,,,1020,1039,1029.532281553398,6.3800464741038915e-09,6.496745144697309e-09,6.43757964026082e-09,1.0182911944398976,1.0090176719543424,0.99089305442668
summed,,,1040,1059,1049.5316666666668,6.171447080631968e-09,6.2327813440497094e-09,6.222206504122979e-09,1.009938392506067,1.0082248819163193,0.9983033513702794
summed,,,1060,1079,1069.5310747663552,5.973725670128784e-09,6.036146096803022e-09,5.9723605007367785e-09,1.0104491619001468,0.9997714710270624,0.989432728260168
summed,,,1080,1099,1089.530504587156,5.785453749834375e-09,5.859260676131691e-09,5.842609490168799e-09,1.0127573271671957,1.009879214804208,0.9971581421474005
summed,,,1100,1119,1109.529954954955,5.605935344389473e-09,5.648557194013729e-09,5.617613826450647e-09,1.0076029863003884,1.0020832352397469,0.9945218988672232
summed,,,1120,1139,1129.529424778761,5.434627004116019e-09,5.491696195850768e-09,5.4584807581666775e-09,1.0105010319367873,1.0043892164140413,0.9939516978908653
summed,,,1140,1159,1149.5289130434783,5.271212311602856e-09,5.2120184560465595e-09,5.16231945611463e-09,0.9887703526139516,0.979341971248524,0.9904645387672654
summed,,,1160,1179,1169.5284188034188,5.11530064484134e-09,5.131520875525931e-09,5.068494208253429e-09,1.0031709242155589,0.9908497193346566,0.9877177412308505
summed,,,1180,1199,1189.5279411764707,4.9664207950231485e-09,5.112045750568373e-09,5.097759528632698e-09,1.029321912410474,1.0264453494841121,0.9972053806572276
summed,,,1200,1219,1209.527479338843,4.824206367792838e-09,4.951898178554923e-09,4.900089428612492e-09,1.026468977698503,1.0157296465023264,0.9895375978918957
summed,,,1220,1239,1229.5270325203253,4.688597495771369e-09,4.7980717268070955e-09,4.760141559835053e-09,1.0233490358544237,1.0152591610024553,0.9920947061378586
summed,,,1240,1259,1249.5266,4.559299283031247e-09,4.560806492062071e-09,4.514501710982061e-09,1.0003305790950012,0.9901744611905797,0.9898472383863245
