segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,theory_cl,ensemble_mean_theoretical_normalization_cl,ensemble_mean_measured_normalization_cl,realization_std_cl,ensemble_sem_cl,theoretical_normalization_mean_over_theory,measured_normalization_mean_over_theory,mean_minus_theory_over_sem,theory_model,linear_power_evolution
0,0.44933801,0.49256256,1380,1399,1389.5239208633093,3.3143764192708987e-07,2.9282068777720477e-07,2.967797182549422e-07,3.2879235939633842e-09,1.1624565346573767e-09,0.8834865167234682,0.8954315403928328,-33.22012737557288,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1400,1419,1409.5235815602837,3.2663398644266335e-07,2.879560735829286e-07,2.91853512282574e-07,2.727513481780829e-09,9.643216393724773e-10,0.8815863796631457,0.8935185081660366,-40.10893386661324,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1420,1439,1429.5232517482518,3.220083557766429e-07,2.8351190825518574e-07,2.8735023739908667e-07,2.08766502087632e-09,7.381010465538005e-10,0.8804489174555465,0.8923688849813686,-52.156066843689445,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1440,1459,1449.5229310344828,3.175506380935052e-07,2.777928275427577e-07,2.815518996352055e-07,1.5869644445482656e-09,5.610766601210106e-10,0.8747985178381518,0.8866362269827982,-70.85985459130082,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1460,1479,1469.522619047619,3.1325140650620054e-07,2.7391356936738e-07,2.7762014323268086e-07,3.0061167376429376e-09,1.0628227651128513e-09,0.8744208762617579,0.8862534611706064,-37.01260306994233,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1480,1499,1489.5223154362416,3.0910186276063343e-07,2.701924898372675e-07,2.738473788828713e-07,2.316239883881918e-09,8.189144643738227e-10,0.8741211955959738,0.8859454175950308,-47.51335409995197,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1500,1519,1509.5220198675497,3.050937901541912e-07,2.6511016430748655e-07,2.6870016746230787e-07,1.8343873725301521e-09,6.48553875219522e-10,0.8689464448735671,0.8807133286013774,-61.65043086539422,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1520,1539,1529.5217320261438,3.012195147351633e-07,2.6070469427650436e-07,2.6423243658451083e-07,1.979365456657128e-09,6.998113684243311e-10,0.865497358315977,0.8772088913854997,-57.89391582746163,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1540,1559,1549.5214516129033,2.9747186323710777e-07,2.568737243266014e-07,2.603470061548657e-07,2.784299082309776e-09,9.843983809763619e-10,0.8635227598714217,0.875198761058451,-41.24157423972972,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1560,1579,1569.521178343949,2.9384411513333864e-07,2.536939793505708e-07,2.571269555759881e-07,2.132251728862404e-09,7.538648283376727e-10,0.8633624642625606,0.8750454487043606,-53.25906485291511,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1580,1599,1589.5209119496856,2.9032997497802637e-07,2.495783388264705e-07,2.529520816048107e-07,2.695916974505743e-09,9.531505870944658e-10,0.859636828217134,0.8712572018233922,-42.75466720928227,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1600,1619,1609.520652173913,2.8692355765016594e-07,2.468407187375963e-07,2.50181460443522e-07,1.9870562054031975e-09,7.025304587197051e-10,0.8603013316827718,0.8719446478792026,-57.05494817351662,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1620,1639,1629.520398773006,2.836193238813794e-07,2.429556910567392e-07,2.4624063146203707e-07,2.3931712031523476e-09,8.461137931446968e-10,0.8566260145178001,0.8682082309914272,-48.059295515687474,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1640,1659,1649.5201515151516,2.8041209670495046e-07,2.39784038059308e-07,2.430274349212343e-07,1.8790487530098816e-09,6.643440577167066e-10,0.8551130314167891,0.8666795683103061,-61.155147206821724,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1660,1679,1669.5199101796406,2.772969900183184e-07,2.3564024609686066e-07,2.388289706450427e-07,1.643399557621169e-09,5.810294856964504e-10,0.8497757082804761,0.861275020076004,-71.69471592569171,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,1680,1699,1689.519674556213,2.742694299106001e-07,2.3334342240242162e-07,2.3649883675417282e-07,2.0550221677074356e-09,7.26560055137303e-10,0.8507817385206999,0.8622865363859952,-56.32845794205465,standard-halo-model-uncompensated,scale_dependent_camb
