segment,ell,UU_measured_cl,UU_candidate_cl,2UH_measured_cl,2UH_candidate_cl,HH_measured_cl,HH_candidate_cl,linear_projection_correction_cl
0,249.633,2.091931459931375e-06,2.2217417120743347e-06,1.4759596542533068e-06,1.471047879014209e-06,4.284650430170219e-07,3.068623497873875e-07,7.832963601452939e-09
0,269.6231481481482,1.8615274136254577e-06,1.9762093336625976e-06,1.3137204277276205e-06,1.3007506374774275e-06,3.979944570246058e-07,2.7895489684408455e-07,8.819571580051184e-11
0,289.6146551724138,1.639369647334016e-06,1.7614272278629967e-06,1.160011864658476e-06,1.1520017761799554e-06,3.7103396379659784e-07,2.549057846171417e-07,-6.728138494415431e-09
0,309.60725806451615,1.4707778861807054e-06,1.5931424142903243e-06,1.043401184038525e-06,1.0356214207074765e-06,3.4854580770248415e-07,2.3656616086579277e-07,-2.265733477340184e-09
0,329.6007575757576,1.3283677239315264e-06,1.453599094142186e-06,9.52430497662288e-07,9.392015910976124e-07,3.3485215884173455e-07,2.2175949991472258e-07,3.518617223584756e-09
0,349.595,1.1968938785045862e-06,1.326199524429436e-06,8.607337299443349e-07,8.512685434054235e-07,3.157142356466604e-07,2.0849479513559694e-07,5.902379085997826e-10
0,369.58986486486486,1.0975493807638582e-06,1.212205480233859e-06,7.901260668041326e-07,7.727284209794374e-07,3.022677842080113e-07,1.9692611999571826e-07,-3.9758075347001905e-09
0,389.5852564102564,9.95166295902032e-07,1.1149132799257654e-06,7.212619367726246e-07,7.058304689693427e-07,2.8965543430306555e-07,1.874287026770365e-07,-2.4273674768643337e-09
0,409.5810975609756,9.132569962589304e-07,1.0307301277705855e-06,6.601389332877656e-07,6.480528658887057e-07,2.7663702543627303e-07,1.7955196706249783e-07,7.744270367540093e-10
0,429.57732558139537,8.415958506452599e-07,9.550681764790909e-07,6.13632965002152e-07,5.962195971574547e-07,2.6860765188168826e-07,1.727382432046537e-07,3.310015445243703e-10
0,449.5738888888889,7.800186148116035e-07,8.866832227312368e-07,5.722136006423722e-07,5.494734751318645e-07,2.590657127783361e-07,1.6683194994121229e-07,-1.999167800441987e-09
0,469.5707446808511,7.189108359402208e-07,8.257713883305598e-07,5.300199736601178e-07,5.079403652676235e-07,2.5154337816060297e-07,1.618455368029207e-07,-1.948219959178633e-09
0,489.5678571428571,6.690444277119487e-07,7.715338596078869e-07,4.901037505233999e-07,4.710540345088554e-07,2.4312570705081126e-07,1.5767140033066618e-07,-4.258426821571744e-10
0,509.56519607843137,6.226393668658132e-07,7.22511753210906e-07,4.5737208334592075e-07,4.377992688962054e-07,2.362491084904362e-07,1.541258817143195e-07,-1.4757286505492082e-10
0,529.5627358490566,5.815605326712815e-07,6.778150947431605e-07,4.3276744563170285e-07,4.0755929154510747e-07,2.324881486488983e-07,1.5109540984021393e-07,-1.0901600672239132e-09
0,549.5604545454545,5.414857587356401e-07,6.371211479729183e-07,4.018672710770849e-07,3.8010631427683017e-07,2.2560722890048768e-07,1.4853357340625782e-07,-1.3681927498392605e-09
0,569.5583333333333,5.112720977072672e-07,6.000936891983847e-07,3.8098887888532146e-07,3.5520113325624063e-07,2.2172379668228055e-07,1.4639193206969344e-07,-8.058074813795648e-10
0,589.5563559322034,4.786891719786162e-07,5.662207076810016e-07,3.5483977772698715e-07,3.3248620552153706e-07,2.1538121662951836e-07,1.4460278769135095e-07,-4.674435112138345e-10
0,609.5545081967213,4.493434704144909e-07,5.351445812424588e-07,3.319671954570789e-07,3.1171200237039913e-07,2.1020363309707343e-07,1.4311714689432864e-07,-7.10432046583828e-10
0,629.5527777777778,4.235877452785747e-07,5.065904917446255e-07,3.142124802214901e-07,2.926835738288156e-07,2.0731139732330933e-07,1.4189578936639582e-07,-9.36014420340177e-10
0,649.5511538461539,4.005111798732956e-07,4.802119190180621e-07,2.982669907406253e-07,2.7515882996129586e-07,2.0309423018918252e-07,1.4089308136034136e-07,-7.841036740119861e-10
0,669.5496268656716,3.767439543030791e-07,4.5578760491598595e-07,2.782412253112968e-07,2.589842589222035e-07,1.995385795889104e-07,1.400780423823387e-07,-5.549835433366366e-10
0,689.5481884057971,3.5509361391085975e-07,4.332075987740549e-07,2.6357593791084985e-07,2.440794475491747e-07,1.9652931411847566e-07,1.3943172513761666e-07,-6.350227958475358e-10
0,709.5468309859154,3.3846180820025486e-07,4.1221523694170666e-07,2.4984285385828154e-07,2.3026537757731714e-07,1.936052610316067e-07,1.3892242322884925e-07,-6.919237859970217e-10
0,729.5455479452055,3.214725999279958e-07,3.9269677382541466e-07,2.3910763773953735e-07,2.1746329264240233e-07,1.9101060899351805e-07,1.385318524863299e-07,-6.440955377454428e-10
0,749.5443333333334,3.0649921900049575e-07,3.7456001516526967e-07,2.2644638702251098e-07,2.056046212086222e-07,1.88202478395523e-07,1.3824527865945044e-07,-5.988521825307707e-10
0,769.5431818181818,2.911548718884828e-07,3.575720730738008e-07,2.1377269263242395e-07,1.9453061983029367e-07,1.8580315056357597e-07,1.3803651461755228e-07,-5.18716650917302e-10
0,789.5420886075949,2.7576041002052735e-07,3.417372320350082e-07,2.02063882423512e-07,1.8424054644056228e-07,1.8382840763340088e-07,1.3789889313794092e-07,-5.835579638242243e-10
0,809.5410493827161,2.6421553639107344e-07,3.2685323038745596e-07,1.9252309447118045e-07,1.7459557311690325e-07,1.812117770010006e-07,1.3781345527701302e-07,-5.380851199128966e-10
0,829.5400602409638,2.5087929189551325e-07,3.1294629102490414e-07,1.8357239966060175e-07,1.6561184938436602e-07,1.7962534908566488e-07,1.3777520522185442e-07,-5.454343008441003e-10
0,849.5391176470588,2.4193513497523677e-07,2.998604423490747e-07,1.7494007208202352e-07,1.5718125445415485e-07,1.7714478406095111e-07,1.377720179029488e-07,-4.86066011742967e-10
0,869.5382183908046,2.3044051036533443e-07,2.875900949901354e-07,1.6638250673392313e-07,1.4929958208005686e-07,1.7537980342267426e-07,1.3779625207837788e-07,-4.855165494816242e-10
0,889.5373595505617,2.2002704453101752e-07,2.760186295306748e-07,1.5822635902553607e-07,1.4188544572697622e-07,1.7334782753190745e-07,1.378403202546527e-07,-4.5140693458689715e-10
0,909.5365384615385,2.0961030766383977e-07,2.6513530825233633e-07,1.4910962556477767e-07,1.3493173915642204e-07,1.7141227276324104e-07,1.378968438715014e-07,-4.587899334049606e-10
0,929.535752688172,2.0166592217202478e-07,2.5483862738428966e-07,1.4363205576407622e-07,1.2836821418934472e-07,1.7148107523143072e-07,1.3796149413526313e-07,-4.183247491020863e-10
0,949.535,1.934104523820414e-07,2.45153510737514e-07,1.3693395935181832e-07,1.2221110116939865e-07,1.6906044265533374e-07,1.3802928096039998e-07,-4.3892035640726164e-10
0,969.5342783505155,1.8667981297333314e-07,2.3595838368808056e-07,1.2985679816432913e-07,1.1637841643086934e-07,1.6710802890063426e-07,1.380970207730033e-07,-3.8704117041371116e-10
0,989.5335858585859,1.7924335804395605e-07,2.2730897269513156e-07,1.245425406656725e-07,1.1090555648546112e-07,1.6617552361361982e-07,1.3816080125086975e-07,-4.166466563243061e-10
0,1009.5329207920792,1.7218752609789788e-07,2.1906910068400068e-07,1.1885419658020082e-07,1.0570304493828712e-07,1.651353412785524e-07,1.3821798699626517e-07,-3.618572674408897e-10
0,1029.532281553398,1.659757727874955e-07,2.1131249725934715e-07,1.1408836336148555e-07,1.0081642419637334e-07,1.6436155237603023e-07,1.38266326715696e-07,-3.956922156266172e-10
0,1049.5316666666668,1.5975690505698583e-07,2.0390474591747136e-07,1.0866609707969517e-07,9.615995405429242e-08,1.636701762187374e-07,1.3830325386448308e-07,-3.447332892716169e-10
0,1069.5310747663552,1.5415627326969702e-07,1.9690802971714574e-07,1.0335276909316923e-07,9.177020757611563e-08,1.6204986630624904e-07,1.3832857969033199e-07,-3.53119791079874e-10
