zbin,massbin,n_sample,lower,upper,count,expected,sigma,ratio,pull
0,1,1949,0.24000000000000002,0.28,0,3.967745918821207e-09,6.299004618779231e-05,0.0,-6.29900461890782e-05
0,1,1949,0.28,0.32,0,7.936236393920776e-08,0.0002817132654173586,0.0,-0.0002817132655135437
0,1,1949,0.32,0.36,0,1.3079995844658245e-06,0.0011436780921110703,0.0,-0.0011436780974368756
0,1,1949,0.36,0.4,0,1.7783432473787748e-05,0.00421704061540893,0.0,-0.004217040833993314
0,1,1949,0.4,0.44,0,0.00019958530268821247,0.014127462919185922,0.0,-0.014127469583881473
0,1,1949,0.44,0.48000000000000004,0,0.0018488386488117667,0.04299804804234389,0.0,-0.04299819952270986
0,1,1949,0.48000000000000004,0.52,0,0.01412023579446891,0.11882730933856427,0.0,-0.11882988744815685
0,1,1949,0.52,0.56,0,0.0887171767354035,0.2978377826493132,0.0,-0.2978707937799243
0,1,1949,0.56,0.6000000000000001,0,0.4571282868184721,0.6759531189406714,0.0,-0.676272176293626
0,1,1949,0.6000000000000001,0.64,2,1.9243295586120268,1.3860383909561635,1.0393230156702224,0.054594765831682095
0,1,1949,0.64,0.6799999999999999,9,6.5902791132161465,2.5607686277558654,1.3656477738479087,0.9410146862411451
0,1,1949,0.6799999999999999,0.72,20,18.280713243305243,4.249408792621151,1.0940492164508075,0.404594342554239
0,1,1949,0.72,0.76,37,40.886039603175576,6.314546797269265,0.9049543648420829,-0.6154106902582619
0,1,1949,0.76,0.8,72,73.41432748335227,8.389584261226139,0.980734993674457,-0.1685813550844011
0,1,1949,0.8,0.8400000000000001,113,105.94174979554342,9.997140713336277,1.0666238779147812,0.7060268937738181
0,1,1949,0.8400000000000001,0.8800000000000001,125,128.81969484792083,10.962641377839528,0.9703485181172785,-0.34842833184730143
0,1,1949,0.8800000000000001,0.9199999999999999,153,165.76801045608386,12.312819352853918,0.922976632095935,-1.036968876922931
0,1,1949,0.9199999999999999,0.96,275,279.47541483970156,15.467076461978692,0.9839863737485871,-0.2893510516161902
0,1,1949,0.96,1.0,446,428.68657703111575,18.28165801508049,1.040387135722301,0.9470378974709218
0,1,1949,1.0,1.04,414,411.4399522143189,17.98313008029965,1.0062221662527016,0.14235829770733857
0,1,1949,1.04,1.08,203,217.04246313157364,13.860600452592035,0.9353008488340785,-1.0131208369798723
0,1,1949,1.08,1.12,66,60.568407366495855,7.65648177427953,1.0896769928361811,0.7094110315459159
0,1,1949,1.12,1.16,13,8.8734740413088,2.9719246805042836,1.4650406300261802,1.3885028734950984
0,1,1949,1.16,1.2,1,0.6942172026895034,0.8330480916964549,1.4404713627461945,0.3670649994381326
0,1,1949,1.2,1.24,0,0.03121846181331811,0.17668602788440443,0.0,-0.17668891075950027
0,1,1949,1.24,1.28,0,0.001051612547214753,0.03242856621752544,0.0,-0.03242858596216405
0,1,1949,1.28,1.32,0,4.420163138685318e-05,0.006648430636802475,0.0,-0.006648430855572813
0,1,1949,1.32,1.3599999999999999,0,2.3742029841011814e-06,0.0015408448912673876,0.0,-0.0015408448946138463
0,1,1949,1.3599999999999999,1.4,0,1.1808664079904219e-07,0.0003436373681423962,0.0,-0.00034363736818665634
0,2,390,0.2,0.24000000000000002,0,7.470653979738825e-12,2.733249710461071e-06,0.0,-2.733249710462277e-06
0,2,390,0.24000000000000002,0.28,0,1.9815790379267868e-10,1.407685702814215e-05,0.0,-1.4076857028278803e-05
0,2,390,0.28,0.32,0,4.311843574344743e-09,6.56646295473931e-05,0.0,-6.566462955878999e-05
0,2,390,0.32,0.36,0,7.70464642412877e-08,0.0002775724482844553,0.0,-0.0002775724489857536
0,2,390,0.36,0.4,0,1.1315800488092285e-06,0.0010637574981512497,0.0,-0.0010637575300534666
0,2,390,0.4,0.44,0,1.367034148864241e-05,0.0036973419524972888,0.0,-0.0036973430275793334
0,2,390,0.44,0.48000000000000004,0,0.0001358951571367564,0.011657394372107876,0.0,-0.011657421272622178
0,2,390,0.48000000000000004,0.52,0,0.0011115120886159202,0.03333909693610314,0.0,-0.03333959797250105
0,2,390,0.52,0.56,0,0.007474821279440904,0.08645356675307905,0.0,-0.08646053089735234
