zbin,magnitude_lower,magnitude_upper,colour_lower,colour_upper,count,n_magnitude_bin,mean_measured,mean_expected,sigma_mean
0,-23.4,-23.3,0.96,1.0,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.0,1.04,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.04,1.08,1,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.08,1.12,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.12,1.16,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.16,1.2,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.2,1.24,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.24,1.28,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.28,1.32,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.32,1.3599999999999999,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.4,-23.3,1.3599999999999999,1.4,0,1,1.065977717783938,1.0284478911646737,0.04561916132598204
0,-23.3,-23.2,0.2,0.24000000000000002,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.24000000000000002,0.28,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.28,0.32,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.32,0.36,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.36,0.4,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.4,0.44,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.44,0.48000000000000004,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.48000000000000004,0.52,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.52,0.56,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.56,0.6000000000000001,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.6000000000000001,0.64,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.64,0.6799999999999999,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.6799999999999999,0.72,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.72,0.76,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
0,-23.3,-23.2,0.76,0.8,0,1,0.991648558175842,1.0146234034397372,0.052963907147647676
