zbin,phi_lower,phi_upper,area_lower,area_upper,count,expected,sigma,pull
0,165.0,180.0,0.08333333333333333,0.16666666666666666,12,8.71450436017559,2.5483646666218704,
0,165.0,180.0,0.16666666666666666,0.25,13,12.842169654234956,2.9872748997287513,
0,165.0,180.0,0.25,0.3333333333333333,10,9.9362099195741,2.7173662735465034,
0,165.0,180.0,0.3333333333333333,0.41666666666666663,10,8.738092252310105,2.623510519317792,
0,165.0,180.0,0.41666666666666663,0.5,5,8.880127809782993,2.507685287441141,
0,165.0,180.0,0.5,0.5833333333333333,9,8.985390706033503,2.5342002844781977,
0,165.0,180.0,0.5833333333333333,0.6666666666666666,10,11.18196251788674,2.8551329441976487,
0,165.0,180.0,0.6666666666666666,0.75,9,10.493801001442991,2.830423076387292,
0,165.0,180.0,0.75,0.8333333333333333,10,11.670048843646049,3.046991538771841,
0,165.0,180.0,0.8333333333333333,0.9166666666666666,12,11.539046195365197,2.9463108747310125,
0,165.0,180.0,0.9166666666666666,1.0,15,11.061421881323819,2.9363118990171073,
0,180.0,195.0,0.0,0.08333333333333333,8,13.10109701868713,3.0446680362121006,
0,180.0,195.0,0.08333333333333333,0.16666666666666666,13,11.706005226572628,2.916248293894689,
0,180.0,195.0,0.16666666666666666,0.25,7,9.53929145325294,2.6345542384834393,
0,180.0,195.0,0.25,0.3333333333333333,6,8.506649810941726,2.4634261541824887,
0,180.0,195.0,0.3333333333333333,0.41666666666666663,8,9.470556443411093,2.584905673616166,
0,180.0,195.0,0.41666666666666663,0.5,11,8.714470724524885,2.5532399984447154,
0,180.0,195.0,0.5,0.5833333333333333,7,8.011362368163727,2.5195072359568282,
0,180.0,195.0,0.5833333333333333,0.6666666666666666,8,9.02101329878875,2.5880554813815024,
0,180.0,195.0,0.6666666666666666,0.75,4,7.084894604664804,2.388364450204393,
0,180.0,195.0,0.75,0.8333333333333333,9,10.534043816001056,2.7274077203058433,
0,180.0,195.0,0.8333333333333333,0.9166666666666666,11,12.482034732028275,2.990284392664191,
0,180.0,195.0,0.9166666666666666,1.0,9,15.445823889601803,3.3089719444579324,-1.9479838444679656
0,195.0,210.0,0.0,0.08333333333333333,8,10.163083965144331,2.7130685353748865,
0,195.0,210.0,0.08333333333333333,0.16666666666666666,11,8.08537600582546,2.4616193141548948,
0,195.0,210.0,0.16666666666666666,0.25,9,13.341955998972727,3.066990092613025,
0,195.0,210.0,0.25,0.3333333333333333,12,12.00993580906777,2.904463218499827,
0,195.0,210.0,0.3333333333333333,0.41666666666666663,17,13.028164268150226,2.952882507656093,
0,195.0,210.0,0.41666666666666663,0.5,7,11.13071058375214,2.8878630479774414,
0,195.0,210.0,0.5,0.5833333333333333,11,11.121617380726393,2.88497898703323,
0,195.0,210.0,0.5833333333333333,0.6666666666666666,14,11.396075260823666,2.8519990644357662,
0,195.0,210.0,0.6666666666666666,0.75,13,9.81611797563129,2.6268261932500923,
0,195.0,210.0,0.75,0.8333333333333333,10,15.94485166858016,3.3906557344747914,-1.75330441487626
0,195.0,210.0,0.8333333333333333,0.9166666666666666,15,15.498059722360587,3.3919396873332617,-0.14683625543830375
0,195.0,210.0,0.9166666666666666,1.0,19,13.76902878903918,3.140956085086342,
0,210.0,225.0,0.0,0.08333333333333333,8,9.011796872807507,2.6546754675663005,
0,210.0,225.0,0.08333333333333333,0.16666666666666666,4,5.498158025699202,1.9769450133062125,
0,210.0,225.0,0.16666666666666666,0.25,8,9.749057588466718,2.7769938444938194,
0,210.0,225.0,0.25,0.3333333333333333,9,14.934345307568305,3.213706048197126,-1.8465737745048105
0,210.0,225.0,0.3333333333333333,0.41666666666666663,16,10.716493471188667,2.8272391420938665,
0,210.0,225.0,0.41666666666666663,0.5,6,9.413766354961133,2.667811259483927,
0,210.0,225.0,0.5,0.5833333333333333,12,11.058895406688324,2.945973392146965,
0,210.0,225.0,0.5833333333333333,0.6666666666666666,9,9.619138465876691,2.583600985031112,
0,210.0,225.0,0.6666666666666666,0.75,8,8.948941938650114,2.6867919558430553,
0,210.0,225.0,0.75,0.8333333333333333,14,13.154194720979602,3.0730282672022176,
0,210.0,225.0,0.8333333333333333,0.9166666666666666,12,12.531651386953483,3.003234737236147,
0,210.0,225.0,0.9166666666666666,1.0,5,7.6219007327552815,2.3284480233947082,
0,225.0,240.0,0.0,0.08333333333333333,12,14.649211613543889,3.1257777820368355,
0,225.0,240.0,0.08333333333333333,0.16666666666666666,9,14.32436346180694,3.2364555337946452,-1.6451217717069284
0,225.0,240.0,0.16666666666666666,0.25,19,17.422007528860757,3.5165433835173046,0.44873396942451743
0,225.0,240.0,0.25,0.3333333333333333,7,13.208864381857294,3.0450580160134373,
0,225.0,240.0,0.3333333333333333,0.41666666666666663,9,7.802623463277371,2.5446920131538304,
0,225.0,240.0,0.41666666666666663,0.5,11,12.580991711121612,3.0391594587853867,
0,225.0,240.0,0.5,0.5833333333333333,14,10.107103039832223,2.716524242327959,
0,225.0,240.0,0.5833333333333333,0.6666666666666666,12,15.41544538266645,3.275084329299288,-1.042857233357772
0,225.0,240.0,0.6666666666666666,0.75,9,12.026004105930745,3.0879005441963314,
0,225.0,240.0,0.75,0.8333333333333333,13,13.072436920496282,3.117705438880553,
0,225.0,240.0,0.8333333333333333,0.9166666666666666,21,22.84885563395776,3.7704108325111974,-0.490359198529666
0,225.0,240.0,0.9166666666666666,1.0,12,12.611056915309733,3.0532137564340975,
0,240.0,255.0,0.0,0.08333333333333333,19,16.331860837891988,3.3430662880073023,0.7981113541420105
0,240.0,255.0,0.08333333333333333,0.16666666666666666,9,10.948901932612742,2.934310277510233,
0,240.0,255.0,0.16666666666666666,0.25,17,12.839668356712291,3.128193736047978,
0,240.0,255.0,0.25,0.3333333333333333,17,11.769871264197567,2.8511382943959878,
0,240.0,255.0,0.3333333333333333,0.41666666666666663,5,6.099048914092965,2.2319581998442564,
0,240.0,255.0,0.41666666666666663,0.5,8,9.304396250213603,2.4526859830500602,
0,240.0,255.0,0.5,0.5833333333333333,13,9.57347216433976,2.648421092883323,
0,240.0,255.0,0.5833333333333333,0.6666666666666666,5,7.8930447913272435,2.454565268943249,
0,240.0,255.0,0.6666666666666666,0.75,11,10.610067534464571,2.886530808910857,
0,240.0,255.0,0.75,0.8333333333333333,7,8.451666197656445,2.5643853157718337,
0,240.0,255.0,0.8333333333333333,0.9166666666666666,11,10.834130799572733,2.9128065007427995,
0,240.0,255.0,0.9166666666666666,1.0,10,8.63473854595515,2.6684092575047726,
0,255.0,270.0,0.0,0.08333333333333333,17,12.916629758281765,3.0185089405698755,
0,255.0,270.0,0.08333333333333333,0.16666666666666666,9,11.472662458250632,2.8347399703866407,
0,255.0,270.0,0.16666666666666666,0.25,12,11.429655115453137,2.836410295116238,
0,255.0,270.0,0.25,0.3333333333333333,13,12.275864590193395,2.979417226266635,
0,255.0,270.0,0.3333333333333333,0.41666666666666663,18,12.12998842084449,3.0299001996870287,
0,255.0,270.0,0.41666666666666663,0.5,15,18.928572880743605,3.463406867602112,-1.1343087979332762
0,255.0,270.0,0.5,0.5833333333333333,20,15.479219490411735,3.2510725731113133,1.3905504746274633
0,255.0,270.0,0.5833333333333333,0.6666666666666666,19,15.843263787870063,3.376784366454775,0.9348349996787438
