zbin,massbin,lower,upper,n_available,n_data,n_random,w_theta,jackknife_sigma,dd,dr,rr,null_reference
0,2,0.11742394140976554,0.17235477520255066,390,390,1170,23.04284050710786,12.095350931918803,0.0001054643728165579,4.383081306158229e-06,4.386830734136123e-06,0.0
0,2,0.17235477520255066,0.25298221281347033,390,390,1170,7.348468203223987,3.136835277056811,0.0001054643728165579,1.0957703265395573e-05,1.316049220240837e-05,0.0
0,2,0.25298221281347033,0.37132710668902225,390,390,1170,1.2059934524201876,1.2499773480570906,5.273218640827895e-05,2.410694718387026e-05,2.1934153670680615e-05,0.0
0,2,0.37132710668902225,0.5450336552463688,390,390,1170,1.0047827183896683,0.9000131933715035,7.909827961241843e-05,3.944773175542406e-05,4.240603042998253e-05,0.0
0,2,0.5450336552463688,0.7999999999999999,390,390,1170,0.48030745794241936,0.43696828699211043,0.0001318304660206974,8.98531667762437e-05,9.212344541685859e-05,0.0
0,2,0.7999999999999999,1.174239414097655,390,390,1170,0.5996202550187125,0.416213302178585,0.0002900270252455342,0.0001818978742055665,0.00018424689083371717,0.0
0,2,1.174239414097655,1.7235477520255065,390,390,1170,0.8652229576850192,0.4662091481803196,0.0007777997495221145,0.00041639272408503175,0.00040797525827465945,0.0
0,2,1.7235477520255065,2.529822128134703,390,390,1170,0.1777104086930278,0.22247234740435018,0.0009887284951552303,0.0008568923953539338,0.0008817529775613608,0.0
0,2,2.529822128134703,3.7132710668902216,390,390,1170,0.22078834514384107,0.1399143828161458,0.002412497528178762,0.0019263642340565418,0.0018483180159826866,0.0
0,2,3.7132710668902216,5.450336552463689,390,390,1170,0.10406636095456445,0.07364380287583717,0.004205391866060246,0.003925049309664694,0.004068054367455565,0.0
0,2,5.450336552463689,8.0,390,390,1170,-0.02670269314232427,0.08100319124533971,0.008226221079691516,0.008428665351742274,0.008406629963516191,0.0
