dimension,group,n_sample,lower,upper,count,expected,sigma,ratio,pull
mass,0,410,-1.0,-0.666666666666667,29,38.47328628234095,5.904494695217019,0.7537697660444166,-1.6044194755589938
mass,0,410,-0.666666666666667,-0.3333333333333335,49,47.94900908028471,6.507029266940353,1.0219189288762054,0.16151624291210112
mass,0,410,-0.3333333333333335,0.0,60,53.52905052547694,6.82205023636795,1.1208866850990238,0.9485344215184472
mass,0,410,0.0,0.33333333333333304,61,53.52905052547685,6.822050236367945,1.1395681298506761,1.0951179213978761
mass,0,410,0.33333333333333304,0.6666666666666661,41,47.94900908028466,6.50702926694035,0.8550750221209075,-1.0679234402079358
mass,0,410,0.6666666666666661,1.0,39,38.473286282341085,5.904494695217028,1.0136903750252464,0.08920555353967584
mass,0,410,1.0,1.333333333333333,28,27.652054024291573,5.078098851619812,1.0125830065065968,0.068518944958592
mass,0,410,1.333333333333333,1.666666666666666,17,17.802555655751757,4.126687926933385,0.9549190761556494,-0.19447936697945323
mass,0,410,1.666666666666666,2.0,13,10.266490333100595,3.1637659763640884,1.2662555146120567,0.8640050140626554
mass,0,410,2.0,2.333333333333333,2,5.303269361008897,2.287940693041176,0.37712585649609903,-1.443774032716786
mass,0,410,2.333333333333333,2.666666666666666,5,2.4538287050327714,1.5617754856836572,2.0376320440563207,1.630305583809736
mass,0,410,2.666666666666666,3.0,0,1.0169978397434654,1.007211593640022,0.0,-1.0097161769833052
mass,0,410,3.0,3.333333333333333,0,0.37754345635766073,0.6141626821211541,0.0,-0.6147287475261869
mass,0,410,3.333333333333333,3.666666666666666,0,0.12553951672496177,0.35426131214867984,0.0,-0.35436981804062795
mass,0,410,3.666666666666666,4.0,0,0.03739001073414072,0.19335615052687918,0.0,-0.19337378527787247
mass,1,2647,-4.0,-3.6666666666666665,0,0.2413935571054895,0.49129577973384947,0.0,-0.49134058761152
mass,1,2647,-3.6666666666666665,-3.3333333333333335,5,0.8104953677342702,0.9001373222801355,6.169066720242261,4.654294993183158
mass,1,2647,-3.3333333333333335,-3.0,2,2.4374573877528287,1.560516864728434,0.8205271649256872,-0.2803285229659831
mass,1,2647,-3.0,-2.666666666666667,5,6.565837272685155,2.559209023897092,0.7615175022385542,-0.6118442292379626
mass,1,2647,-2.666666666666667,-2.3333333333333335,15,15.842157517614188,3.968292205432484,0.9468407307099534,-0.21222164951998684
mass,1,2647,-2.3333333333333335,-2.0,33,34.23842438680613,5.813394628045826,0.9638293990162888,-0.21302947177051132
mass,1,2647,-2.0,-1.666666666666667,64,66.28146319931014,8.038766121573646,0.9655791666449831,-0.28380763475471354
mass,1,2647,-1.666666666666667,-1.3333333333333335,109,114.93503614823166,10.485440247215537,0.94836181944923,-0.5660264145616336
mass,1,2647,-1.3333333333333335,-1.0,164,178.52435854219476,12.902866177642242,0.9186421468711684,-1.1256691608072475
mass,1,2647,-1.0,-0.666666666666667,242,248.38728973013778,15.002643139702217,0.9742849574264557,-0.42574429523253726
mass,1,2647,-0.666666666666667,-0.3333333333333335,279,309.56348057442347,16.53361431090525,0.9012691015176916,-1.8485661997246656
mass,1,2647,-0.3333333333333335,0.0,363,345.58877253887186,17.334046427420443,1.0503813458209779,1.004452568765802
mass,1,2647,0.0,0.33333333333333304,381,345.5887725388713,17.334046427420432,1.10246637123359,2.0428713866320494
mass,1,2647,0.33333333333333304,0.6666666666666661,302,309.5634805744232,16.533614310905243,0.975567271176857,-0.4574608087618483
mass,1,2647,0.6666666666666661,1.0,246,248.38728973013866,15.00264313970224,0.9903888410202779,-0.15912460943772355
mass,1,2647,1.0,1.333333333333333,181,178.52435854219462,12.902866177642236,1.0138672474614732,0.19186756056535023
mass,1,2647,1.333333333333333,1.666666666666666,119,114.93503614823148,10.485440247215529,1.0353674909583355,0.38767698407780254
mass,1,2647,1.666666666666666,2.0,67,66.28146319931042,8.038766121573662,1.0108406900814624,0.08938396637280412
mass,1,2647,2.0,2.333333333333333,35,34.238424386806216,5.813394628045832,1.0222433019869706,0.13100359805606168
mass,1,2647,2.333333333333333,2.666666666666666,15,15.842157517614012,3.9682922054324616,0.946840730709964,-0.2122216495199437
mass,1,2647,2.666666666666666,3.0,14,6.5658372726852505,2.5592090238971106,2.1322490062679207,2.904867346862571
mass,1,2647,3.0,3.333333333333333,3,2.4374573877529953,1.5605168647284873,1.2307907473884467,0.36048480151791307
mass,1,2647,3.333333333333333,3.666666666666666,2,0.8104953677340825,0.9001373222800313,2.467626688097476,1.3214701832970597
mass,1,2647,3.666666666666666,4.0,0,0.24139355710553778,0.4912957797338986,0.0,-0.4913405876115691
mass,2,1361,-4.0,-3.6666666666666665,0,0.12411659660769596,0.3522857899153508,0.0,-0.3523179196002183
mass,2,1361,-3.6666666666666665,-3.3333333333333335,0,0.41672995673832325,0.6454474080431393,0.0,-0.6456451006624394
mass,2,1361,-3.3333333333333335,-3.0,0,1.2532601075676615,1.118975450318134,0.0,-1.1200067947972847
mass,2,1361,-3.0,-2.666666666666667,4,3.3759367314410635,1.835092035658217,1.1848563282442046,0.3400719181559171
mass,2,1361,-2.666666666666667,-2.3333333333333335,9,8.14551431109668,2.8454813004154818,1.1049026072840176,0.30029566132750657
mass,2,1361,-2.3333333333333335,-2.0,23,17.604267317885586,4.168520071025716,1.306501405862683,1.2944000724906493
mass,2,1361,-2.0,-1.666666666666667,29,34.0797398618289,5.764232443880315,0.8509454625409723,-0.8812517384204173
mass,2,1361,-1.666666666666667,-1.3333333333333335,60,59.09580060360532,7.518630838029229,1.015300569366337,0.120261177317184
mass,2,1361,-1.3333333333333335,-1.0,89,91.79133055380697,9.252056685740715,0.9695904772600422,-0.3016983843288569
mass,2,1361,-1.0,-0.666666666666667,128,127.71254300064885,10.757710949911445,1.002250812587372,0.026721019061542665
mass,2,1361,-0.666666666666667,-0.3333333333333335,160,159.16732038601828,11.855500531326266,1.0052314734705734,0.07023571984847893
mass,2,1361,-0.3333333333333335,0.0,186,177.6903360126198,12.429453885032924,1.046764861690565,0.668546185877593
mass,2,1361,0.0,0.33333333333333304,168,177.6903360126195,12.429453885032915,0.9454650363656733,-0.7796268526558707
mass,2,1361,0.33333333333333304,0.6666666666666661,145,159.1673203860181,11.85550053132626,0.9109910228327082,-1.1949997681315294
mass,2,1361,0.6666666666666661,1.0,136,127.7125430006493,10.757710949911463,1.064891488374079,0.7703736452798913
mass,2,1361,1.0,1.333333333333333,83,91.7913305538069,9.252056685740712,0.9042248271076806,-0.9502028416401855
mass,2,1361,1.333333333333333,1.666666666666666,63,59.09580060360523,7.518630838029224,1.0660655978346554,0.5192699948303537
mass,2,1361,1.666666666666666,2.0,52,34.07973986182905,5.764232443880328,1.525833243176909,3.1088718771562083
mass,2,1361,2.0,2.333333333333333,20,17.60426731788563,4.168520071025721,1.1360881790110258,0.5747201983664356
mass,2,1361,2.333333333333333,2.666666666666666,5,8.145514311096589,2.8454813004154658,0.613834781824461,-1.1054419196630516
mass,2,1361,2.666666666666666,3.0,1,3.3759367314411133,1.8350920356582305,0.29621408206104677,-1.2947234717788347
mass,2,1361,3.0,3.333333333333333,0,1.253260107567747,1.1189754503181721,0.0,-1.120006794797323
mass,2,1361,3.333333333333333,3.666666666666666,0,0.41672995673822677,0.6454474080430646,0.0,-0.6456451006623647
mass,2,1361,3.666666666666666,4.0,0,0.12411659660772079,0.35228578991538606,0.0,-0.3523179196002535
