dimension,group,n_sample,lower,upper,count,expected,sigma,ratio,pull
redshift,2,3443,0.4,0.4666666666666667,257,261.1987586121551,15.536487978822647,0.9839250437694856,-0.2702514633859522
redshift,2,3443,0.4666666666666667,0.5333333333333333,254,248.59793895745088,15.18702538039843,1.0217301119438231,0.35570237799967375
redshift,2,3443,0.5333333333333333,0.6,230,236.36400626312462,14.836886661282328,0.9730754002534544,-0.4289313795010544
redshift,2,3443,0.6,0.6666666666666666,212,224.78875796357374,14.495058355394134,0.9431076621472052,-0.8822839929316039
redshift,2,3443,0.6666666666666666,0.7333333333333333,203,213.97866592926363,14.165906461620743,0.9486927078380192,-0.7750062418531275
redshift,2,3443,0.7333333333333333,0.8,178,203.9490552457545,13.851343141867808,0.8727669749953664,-1.8733963183194484
redshift,2,3443,0.8,0.8666666666666667,209,194.6713225962741,13.551950533998589,1.0736044591089666,1.057314765706876
redshift,2,3443,0.8666666666666667,0.9333333333333333,182,186.09714409754963,13.267587975035404,0.9779838421625537,-0.3088085117851798
redshift,2,3443,0.9333333333333333,1.0,174,178.17099809186072,12.997729993304512,0.9765899156623108,-0.3209020416649153
mass,0,410,0.0,0.06666666666666667,18,16.535827600133956,3.9835219159833186,1.0885454562827073,0.36755725981856885
mass,0,410,0.06666666666666667,0.13333333333333333,46,31.806759649883162,5.416507529505891,1.446233458118673,2.620367510393101
mass,0,410,0.13333333333333333,0.2,29,35.56301415205773,5.698946483827097,0.8154539397589845,-1.151618842304056
mass,0,410,0.2,0.26666666666666666,36,35.57345789177927,5.699723865211658,1.0119904595588751,0.07483557419757389
mass,0,410,0.26666666666666666,0.3333333333333333,33,34.27155009139889,5.604177844853849,0.9628977945844938,-0.22689324404051883
mass,0,410,0.3333333333333333,0.4,33,32.541851452256665,5.4734807494796325,1.0140787486666363,0.08370332677006148
mass,0,410,0.4,0.4666666666666667,21,30.732585000941597,5.331878582843178,0.6833138181951369,-1.8253575826461863
mass,0,410,0.4666666666666667,0.5333333333333333,29,28.983863282835674,5.18988304794185,1.00055674831912,0.0031092641231530186
mass,0,410,0.5333333333333333,0.6,30,27.3489210283228,5.052183568182725,1.0969354136103475,0.5247392411417854
mass,0,410,0.6,0.6666666666666666,22,25.84322487379051,4.920791575319994,0.851286946866751,-0.7810176096598016
mass,0,410,0.6666666666666666,0.7333333333333333,20,24.465714462711993,4.796425050089114,0.8174705067567859,-0.9310506087505784
mass,0,410,0.7333333333333333,0.8,23,23.20840440340175,4.679163582674532,0.991020304550915,-0.0445388154783489
mass,0,410,0.8,0.8666666666666667,27,22.060830963448645,4.5687743440267505,1.223888621636002,1.081070909752604
mass,0,410,0.8666666666666667,0.9333333333333333,19,21.012113857596816,4.464879867021057,0.9042402934215328,-0.4506535265279796
mass,0,410,0.9333333333333333,1.0,24,20.051881289440527,4.367046032785143,1.1968951767452654,0.9040707794054342
mass,1,2647,0.0,0.06666666666666667,99,95.52583862678208,9.595428183075082,1.0363688131207245,0.3620642358978656
mass,1,2647,0.06666666666666667,0.13333333333333333,205,190.84541748692914,13.30694119477917,1.0741677882521874,1.0636991857019895
mass,1,2647,0.13333333333333333,0.2,226,219.50297361422514,14.187847221862684,1.0295988080653218,0.4579289785248958
mass,1,2647,0.2,0.26666666666666666,200,224.00947703318667,14.31957361234031,0.8928193692911051,-1.6766893821821485
mass,1,2647,0.26666666666666666,0.3333333333333333,223,219.03557128911797,14.17428472234218,1.0180994743801186,0.27969162384844093
mass,1,2647,0.3333333333333333,0.4,211,210.36658330148018,13.915746322119855,1.0030110138624635,0.04551798256863684
mass,1,2647,0.4,0.4666666666666667,199,200.4749885343217,13.612181460269111,0.9926425308957222,-0.10835798351842937
mass,1,2647,0.4666666666666667,0.5333333333333333,205,190.46095206209213,13.294963457641064,1.0763361086904994,1.0935756223949442
