segment,ell,UU_measured_cl,UU_candidate_cl,2UH_measured_cl,2UH_candidate_cl,HH_measured_cl,HH_candidate_cl,linear_projection_correction_cl
9,469.5707446808511,7.485913659739108e-07,8.530716816930253e-07,3.519202469016803e-07,3.5162093241421395e-07,4.994812268239188e-06,4.898643813253833e-06,-1.4147684475502185e-08
9,489.5678571428571,6.920327401232468e-07,7.947298242269078e-07,3.09338654203919e-07,3.029524837907568e-07,4.935155436987007e-06,4.848835621788704e-06,-1.3241816484228827e-08
9,509.56519607843137,6.447823702376896e-07,7.456577013312931e-07,2.6363833430540534e-07,2.6239122501455865e-07,4.912831848546019e-06,4.796821407641252e-06,-1.2463240020054573e-08
9,529.5627358490566,6.07211248804931e-07,7.041084927184729e-07,2.3349908963304685e-07,2.2837354249100598e-07,4.884412178852607e-06,4.7426710742464385e-06,-1.1678614847474037e-08
9,549.5604545454545,5.770559234424066e-07,6.687619810027703e-07,1.8483678631892092e-07,1.997143594169634e-07,4.8144100466953355e-06,4.686464389590928e-06,-1.0944193098443008e-08
9,569.5583333333333,5.50253731951441e-07,6.3849673634316e-07,1.4550815251561225e-07,1.7541613732749714e-07,4.722403149923761e-06,4.6283212378143875e-06,-1.0136534486048661e-08
9,589.5563559322034,5.271660252241755e-07,6.12560750000364e-07,1.237821909916645e-07,1.547988920128944e-07,4.6631307290709655e-06,4.568346987493263e-06,-9.546061019811404e-09
9,609.5545081967213,5.066446155378154e-07,5.90235791106784e-07,1.0730921799205725e-07,1.372243760251989e-07,4.611251873973199e-06,4.506676532335694e-06,-9.169139102407182e-09
9,629.5527777777778,4.902412660667756e-07,5.707709487834915e-07,9.782706419733942e-08,1.220458135702811e-07,4.543985395503236e-06,4.443496962408491e-06,-8.586101452127128e-09
9,649.5511538461539,4.7614027473547994e-07,5.53780341796873e-07,7.737542902647929e-08,1.0892363988624495e-07,4.448427116007306e-06,4.378981183916251e-06,-7.934508860080552e-09
9,669.5496268656716,4.6452630242891326e-07,5.390492705900207e-07,7.360285160044939e-08,9.765293413971646e-08,4.362422046935431e-06,4.313245021217749e-06,-7.71094251570548e-09
9,689.5481884057971,4.5618904167785016e-07,5.260069855145897e-07,5.994721308306736e-08,8.776317108502379e-08,4.297485711977071e-06,4.246516560440905e-06,-7.248797288844817e-09
9,709.5468309859154,4.460119159845294e-07,5.144791124530935e-07,3.5818034624841105e-08,7.9102756353396e-08,4.215431959103533e-06,4.178963623401615e-06,-6.7224866792828564e-09
9,729.5455479452055,4.3829662392765744e-07,5.043872431223366e-07,4.610271063589145e-08,7.158752828828867e-08,4.138817680931827e-06,4.110683828004548e-06,-6.591768081240362e-09
9,749.5443333333334,4.3614161937944676e-07,4.952894036933742e-07,4.110386720516576e-08,6.487193385337077e-08,4.060086843031925e-06,4.04192595805223e-06,-6.076033921840439e-09
9,769.5431818181818,4.2714647379385847e-07,4.872759471795031e-07,2.0980124036194704e-08,5.90089530076796e-08,4.017580758057559e-06,3.972755375792399e-06,-5.8869355047817435e-09
9,789.5420886075949,4.2389437943443046e-07,4.800554081187742e-07,2.398090540922535e-08,5.37712466433962e-08,3.941311492753928e-06,3.903363745882362e-06,-5.564023108447556e-09
9,809.5410493827161,4.2156566694003445e-07,4.7358360726404467e-07,2.5934247841221926e-08,4.9118229250574806e-08,3.8394249641294296e-06,3.833862565653468e-06,-5.25686722481267e-09
9,829.5400602409638,4.161671648851887e-07,4.6778964885176455e-07,2.095935711581063e-08,4.4988036096386305e-08,3.790038154408753e-06,3.764359488827205e-06,-5.094555060422899e-09
9,849.5391176470588,4.134478758626917e-07,4.625091293838665e-07,1.604359137457672e-08,4.125736711676632e-08,3.7108826461808634e-06,3.6950019359217185e-06,-4.736694677373478e-09
9,869.5382183908046,4.1041344797628265e-07,4.5779863817676087e-07,1.8714879718905688e-08,3.795775808036446e-08,3.6421244482518724e-06,3.6258406380921846e-06,-4.658765826051713e-09
9,889.5373595505617,4.107458622979944e-07,4.5345636376019145e-07,1.4773486731085948e-08,3.494336142274254e-08,3.572445400608536e-06,3.557028374026064e-06,-4.31108804079088e-09
9,909.5365384615385,4.09298424417118e-07,4.4957515620118264e-07,1.1596172274724759e-08,3.227165044776265e-08,3.500310860134068e-06,3.4885898226703813e-06,-4.249652001353185e-09
9,929.535752688172,4.077244704133052e-07,4.4598277915034474e-07,1.7537581303222694e-08,2.98210150516008e-08,3.425699441089421e-06,3.4206582927334255e-06,-3.960349034662051e-09
9,949.535,4.052325597767505e-07,4.4274245605612517e-07,-2.470298813934521e-10,2.76284042107203e-08,3.3474905672390127e-06,3.353257389093412e-06,-3.861899761487488e-09
9,969.5342783505155,4.053588001476188e-07,4.397564624350655e-07,7.827279728575117e-09,2.5625864863025532e-08,3.27149327293128e-06,3.2864836655903487e-06,-3.66703022213383e-09
9,989.5335858585859,4.01626803111281e-07,4.3701853347000943e-07,1.075471339390519e-08,2.3803929105511668e-08,3.2150053508523077e-06,3.220378221261627e-06,-3.499356032332702e-09
9,1009.5329207920792,4.01480664336712e-07,4.345255939750001e-07,8.445055225423846e-09,2.215883955207772e-08,3.1594320564963e-06,3.154989420421085e-06,-3.417554058709222e-09
9,1029.532281553398,4.0054985102367374e-07,4.321911141247528e-07,8.114422117685247e-09,2.0630498771795487e-08,3.0815567277994955e-06,3.0903873939617115e-06,-3.1796647315232373e-09
9,1049.5316666666668,4.002047011239812e-07,4.3009589169651603e-07,4.469433995298823e-09,1.9268277409834708e-08,3.0198334297353244e-06,3.026570384351932e-06,-3.1959142363853637e-09
9,1069.5310747663552,3.999284120416097e-07,4.28098582083112e-07,4.18980696421185e-09,1.7981122266538557e-08,2.9450018487986438e-06,2.9636337536222374e-06,-2.931248070736557e-09
9,1089.530504587156,3.9735159757219724e-07,4.263011760026031e-07,1.064513870477403e-09,1.682935786973267e-08,2.886389322951423e-06,2.9015512689961833e-06,-2.9113785385949465e-09
