segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,theory_cl,ensemble_mean_theoretical_normalization_cl,ensemble_mean_measured_normalization_cl,realization_std_cl,ensemble_sem_cl,theoretical_normalization_mean_over_theory,measured_normalization_mean_over_theory,mean_minus_theory_over_sem,theory_model,linear_power_evolution
0,0.44933801,0.49256256,660,679,669.5496268656716,8.835756187128374e-07,8.545237592032864e-07,8.66103206571479e-07,4.997616235504375e-09,1.7669241649465645e-09,0.9671201209106779,0.9802253346840742,-16.442052288321953,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,680,699,689.5481884057971,8.48045428521826e-07,8.151988659401852e-07,8.262350226410353e-07,9.893608330166855e-09,3.4979187703323487e-09,0.9612679209427571,0.9742815595164436,-9.390315995965762,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,700,719,709.5468309859154,8.152527479842378e-07,7.819099230901433e-07,7.924949221364252e-07,3.376764079926585e-09,1.1938663896916206e-09,0.9591012419442477,0.9720849443266733,-27.928439213961838,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,720,739,729.5455479452055,7.85207050896835e-07,7.515908466610513e-07,7.617737299430233e-07,5.38833100773694e-09,1.9050626974242668e-09,0.9571881019186105,0.9701565072205517,-17.645720679552625,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,740,759,749.5443333333334,7.576249137140394e-07,7.211480844185299e-07,7.30907635878677e-07,6.496367547746793e-09,2.29681277304599e-09,0.9518537093550788,0.964735481434489,-15.881498798500058,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,760,779,769.5431818181818,7.320377427453481e-07,6.907307150844827e-07,7.000710783125329e-07,7.807780168245434e-09,2.7604671514900943e-09,0.9435725438063448,0.9563319449719475,-14.963781633325336,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,780,799,789.5420886075949,7.082462943439284e-07,6.616527000774403e-07,6.705998875453222e-07,7.1946458020202584e-09,2.543691417421926e-09,0.9342127242477856,0.9468456000416081,-18.317313942786132,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,800,819,809.5410493827161,6.861447435662848e-07,6.379504078632545e-07,6.465901970320335e-07,8.39906056024163e-09,2.96951633887167e-09,0.9297606865680602,0.942352474597905,-16.229692045184272,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,820,839,829.5400602409638,6.65611881254534e-07,6.140770406417798e-07,6.223927114829456e-07,3.4466106120035948e-09,1.2185608679286292e-09,0.9225752393187121,0.9350685121633802,-42.291560453894796,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,840,859,849.5391176470588,6.464645339506491e-07,5.940199911182116e-07,6.020575542087403e-07,4.968878729991236e-09,1.7567639224352015e-09,0.9188748336866365,0.9313079412562193,-29.852925690629814,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,860,879,869.5382183908046,6.285379250818714e-07,5.722028205219317e-07,5.799465087533688e-07,4.589513368722385e-09,1.6226380126849568e-09,0.9103711927126726,0.9226913533941914,-34.71822065028709,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,880,899,889.5373595505617,6.117145694869257e-07,5.516012310884611e-07,5.590701705145383e-07,3.6711441252836488e-09,1.297945452850612e-09,0.9017297586211089,0.9139396025559064,-46.31422550650391,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,900,919,909.5365384615385,5.958937853784437e-07,5.301322059918585e-07,5.373129835664622e-07,2.645219926831232e-09,9.352264739960734e-10,0.8896421124029327,0.9016925444611279,-70.31620812186434,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,920,939,929.535752688172,5.809854836993321e-07,5.167790531675317e-07,5.237766493043021e-07,4.720679764447135e-09,1.6690123366253412e-09,0.8894870313747321,0.9015313876161554,-38.469715964845754,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,940,959,949.535,5.669090135230826e-07,4.994048543891935e-07,5.061604497176006e-07,4.350223081405716e-09,1.53803612026811e-09,0.8809259378072306,0.8928424802633546,-43.889839935697836,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,960,979,969.5342783505155,5.535921599611175e-07,4.836446400382965e-07,4.901922928331731e-07,3.149982835251517e-09,1.1136871117137874e-09,0.8736479217340545,0.885475496740421,-62.80715578649632,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,980,999,989.5335858585859,5.409701958662373e-07,4.699614223232484e-07,4.763243025636255e-07,3.2275489406535814e-09,1.1411108712738025e-09,0.8687381040848564,0.880500083375025,-62.22776009812526,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,1000,1019,1009.5329207920792,5.289850811810591e-07,4.5617706395665107e-07,4.6234639743604013e-07,4.5500692580270235e-09,1.6086924136096755e-09,0.862362815484606,0.8740254004966727,-45.259128848029626,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,1020,1039,1029.532281553398,5.175847714449416e-07,4.444256885250112e-07,4.5043748384872064e-07,3.477106545784824e-09,1.2293428087162907e-09,0.8586529454572395,0.8702680385886048,-59.51072589453294,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,1040,1059,1049.5316666666668,5.067224872998461e-07,4.320931783554184e-07,4.3794246407497857e-07,3.3427879583688766e-09,1.1818540167156834e-09,0.8527215373012116,0.864264908408993,-63.145962097602364,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,1060,1079,1069.5310747663552,4.963561607223796e-07,4.1955890866911525e-07,4.252414482567924e-07,3.078481764331008e-09,1.0884076656587913e-09,0.8452779311905865,0.8567264434431734,-70.5592715637302,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,1080,1099,1089.530504587156,4.864474936525377e-07,4.059754650674156e-07,4.1146468951878605e-07,4.609923443169124e-09,1.6298540637078627e-09,0.8345720152017022,0.8458563254777282,-49.373763195737254,corrected-two-halo,scale_dependent_camb
0,0.44933801,0.49256256,1100,1119,1109.529954954955,4.769618720318211e-07,3.9706051268505186e-07,4.024378142108089e-07,4.01912904335698e-09,1.420976700510761e-09,0.8324785186572763,0.843752588642892,-56.22988703336884,corrected-two-halo,scale_dependent_camb
