seed,segment_index,z_lo,z_hi,measured_mean_counts_per_pixel,theoretical_mean_counts_per_pixel,shell_delta_mean,measured_mean_power_rescaling
4253,6,0.21083225,0.2483836,1.8515579698386624,1.854139957568324,-0.001392552767725097,1.002790933965688
4253,7,0.17404257,0.21083225,1.3287340644084908,1.3216022817859978,0.005396315306640753,0.9892941056885044
4253,8,0.13796899,0.17404257,0.883076800959421,0.8953738556032581,-0.01373398895543132,1.0280443882951467
4253,9,0.10256817,0.13796899,0.537646802589387,0.541229351707423,-0.006619280914337167,1.0133711762356898
4253,10,0.06779888,0.10256817,0.2803934697906466,0.27588791080930203,0.01633112146207405,0.9681208000785583
4253,11,0.03362193,0.06779888,0.09974429843497516,0.10319484357353705,-0.03343718560998654,1.0703845556112228
4253,12,0.0,0.03362193,0.013166753408210394,0.014923665588412084,-0.11772658465128671,1.284676007833946
5237,0,0.44933801,0.49256256,6.751465786310834,6.7927459275819935,-0.006077091902339737,1.0122658815456873
5237,1,0.40720486,0.44933801,5.736400793978585,5.695253821497441,0.007224782910610461,0.9857055316867845
5237,2,0.36610056,0.40720486,4.788330970128429,4.811866616402343,-0.004891167638289673,1.0098545767735478
5237,3,0.32596586,0.36610056,3.9261369819681478,3.9476309554025053,-0.005444777811599133,1.010979142517594
5237,4,0.28674463,0.32596586,3.1418562470668916,3.1405550530151882,0.00041431977142192267,0.9991718751554324
5237,5,0.2483836,0.28674463,2.4561048168147153,2.4753202383842647,-0.0077628022716333955,1.0157082773482653
5237,6,0.21083225,0.2483836,1.850309528847637,1.854139957568324,-0.002065878956468037,1.0041445968393181
5237,7,0.17404257,0.21083225,1.3256788588393043,1.3216022817859978,0.0030845717425649344,0.9938592833206888
5237,8,0.13796899,0.17404257,0.8870739854356803,0.8953738556032581,-0.009269725842045884,1.0188004585779828
5237,9,0.10256817,0.13796899,0.542964381954998,0.541229351707423,0.0032057209057516634,0.9936192568778545
5237,10,0.06779888,0.10256817,0.2770258194431734,0.27588791080930203,0.004124532425264116,0.9918016912301759
5237,11,0.03362193,0.06779888,0.10278927028247652,0.10319484357353705,-0.003930170123001453,1.0079069229815334
5237,12,0.0,0.03362193,0.01371958007858861,0.014923665588412084,-0.08068295973868655,1.1832305646994465
6211,0,0.44933801,0.49256256,6.755995521543832,6.7927459275819935,-0.005410242990089853,1.0109089359267118
6211,1,0.40720486,0.44933801,5.73762067316689,5.695253821497441,0.007438975153228444,0.9852864332812099
6211,2,0.36610056,0.40720486,4.785352375877014,4.811866616402343,-0.0055101777831807475,1.0111121155852925
6211,3,0.32596586,0.36610056,3.9234717330722346,3.9476309554025053,-0.0061199292951150674,1.012353143111611
6211,4,0.28674463,0.32596586,3.1531182462057337,3.1405550530151882,0.00400030981099464,0.9920471330285529
6211,5,0.2483836,0.28674463,2.462613446075859,2.4753202383842647,-0.005133393292457322,1.0103463863536928
6211,6,0.21083225,0.2483836,1.8523897759850483,1.854139957568324,-0.0009439317545213433,1.0018905398986881
6211,7,0.17404257,0.21083225,1.3249227426313575,1.3216022817859978,0.0025124509023035646,0.9949939721841599
6211,8,0.13796899,0.17404257,0.882769967659003,0.8953738556032581,-0.014076676312782532,1.0287591681001462
6211,9,0.10256817,0.13796899,0.5366091243359944,0.541229351707423,-0.008536542515392376,1.0172942178506774
6211,10,0.06779888,0.10256817,0.27691089452464435,0.27588791080930203,0.0037079686179124494,0.9926251068750753
6211,11,0.03362193,0.06779888,0.10305268113173016,0.10319484357353705,-0.001377611873655038,1.0027609276665788
6211,12,0.0,0.03362193,0.014714416709398737,0.014923665588412084,-0.014021279006400711,1.0286435694881135
7213,0,0.44933801,0.49256256,6.743852563656887,6.7927459275819935,-0.007197879097255,1.014552691796032
7213,1,0.40720486,0.44933801,5.729488537513589,5.695253821497441,0.0060110957455354885,0.9880853460041888
7213,2,0.36610056,0.40720486,4.796705404473826,4.811866616402343,-0.003150796382600518,1.006331500931732
7213,3,0.32596586,0.36610056,3.9286707361817634,3.9476309554025053,-0.004802936098875721,1.0096755226396599
7213,4,0.28674463,0.32596586,3.1630236645008343,3.1405550530151882,0.007154344090887443,0.9858434139540556
7213,5,0.2483836,0.28674463,2.459976544075356,2.4753202383842647,-0.006198670406752704,1.0125135714938982
7213,6,0.21083225,0.2483836,1.850233238022961,1.854139957568324,-0.0021070251624837333,1.004227406505888
7213,7,0.17404257,0.21083225,1.3176249804683773,1.3216022817859978,-0.003009454033512715,1.0060461879436373
7213,8,0.13796899,0.17404257,0.886389871894305,0.8953738556032581,-0.010033779356780737,1.0203736808668573
7213,9,0.10256817,0.13796899,0.537417977388935,0.541229351707423,-0.007042068776322297,1.0142343190369694
7213,10,0.06779888,0.10256817,0.2752606728992409,0.27588791080930203,-0.002273524447740982,1.004562602776283
7213,11,0.03362193,0.06779888,0.10308779788583629,0.10319484357353705,-0.0010373162455978857,1.0020778650366853
7213,12,0.0,0.03362193,0.014349907050313242,0.014923665588412084,-0.03844622051464042,1.0815655396094288
8231,0,0.44933801,0.49256256,6.743812796851202,6.7927459275819935,-0.0072037334021427535,1.0145646570269542
8231,1,0.40720486,0.44933801,5.720845831866117,5.695253821497441,0.0044935680078166396,0.9910730795331103
8231,2,0.36610056,0.40720486,4.783538671835014,4.811866616402343,-0.00588710095802869,1.011878997977303
8231,3,0.32596586,0.36610056,3.9424935688594487,3.9476309554025053,-0.0013013847041669635,1.002607859045254
8231,4,0.28674463,0.32596586,3.1569213573197406,3.1405550530151882,0.0052112776334996,0.9896583545421168
8231,5,0.2483836,0.28674463,2.4580680067122347,2.4753202383842647,-0.006969696851544027,1.0140864898824218
8231,6,0.21083225,0.2483836,1.849909756494986,1.854139957568324,-0.0022814896232999926,1.0045786424695382
8231,7,0.17404257,0.21083225,1.3169751047537541,1.3216022817859978,-0.0035011872300875213,1.0070393218253182
8231,8,0.13796899,0.17404257,0.8884954923682375,0.8953738556032581,-0.0076821131106025176,1.0155431018178636
8231,9,0.10256817,0.13796899,0.5390340453906642,0.541229351707423,-0.004056147934019538,1.0081619211686785
8231,10,0.06779888,0.10256817,0.2763603270462713,0.27588791080930203,0.0017123484518892784,0.9965840794674201
8231,11,0.03362193,0.06779888,0.1032879075845939,0.10319484357353705,0.0009018281130541705,0.9981987807252263
8231,12,0.0,0.03362193,0.014777799030456298,0.014923665588412084,-0.00977417760346011,1.019838740112609
