n_realizations,seeds,segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,measured_uu,measured_uu_particle_shot,measured_uu_clustering,measured_2uh,measured_hh,measured_hh_parallel,measured_hh_residual,measured_coherent_total,measured_orthogonal_total,measured_total,cross_correlation,cross_correlation_jackknife_sem,linear_theory,corrected_two_halo_theory,one_halo_theory,particle_shot_theory,coherent_over_linear,coherent_over_linear_jackknife_sem,corrected_two_halo_over_linear,measured_total_over_baseline_total,measured_total_over_corrected_total,decomposition_valid,linear_power_evolution,two_halo_model
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,240,259,249.633,2.091931459931375e-06,3.319547071127023e-08,2.0587359892201048e-06,1.4759596542533068e-06,4.284650430170219e-07,2.645381574410604e-07,1.6392688557596154e-07,3.7992338009144718e-06,1.9712235628723176e-07,3.9963561572017044e-06,0.7857537540159366,0.0015265602230679625,3.9171627879299526e-06,4.082591476269399e-06,3.546902327347216e-09,3.357280978428277e-08,0.9698942848689214,0.005125307991422153,1.042231762450411,1.010640023103984,0.9700573594752886,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,260,279,269.6231481481482,1.8615274136254577e-06,3.319547071127023e-08,1.8283319429141874e-06,1.3137204277276203e-06,3.9799445702460583e-07,2.359885152307166e-07,1.6200594179388923e-07,3.378040885872524e-06,1.9520141250515945e-07,3.5732422983776842e-06,0.7700287175777272,0.0009038344791655862,3.437221106570323e-06,3.604668962057157e-06,4.68222679218142e-09,3.3572809784282775e-08,0.9827825388990326,0.0024879734443354075,1.0487160558762874,1.0281302909886691,0.9808720411729497,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,280,299,289.6146551724138,1.6393696473340165e-06,3.319547071127023e-08,1.6061741766227461e-06,1.1600118646584757e-06,3.710339637965979e-07,2.094460777874421e-07,1.6158788600915578e-07,2.9756321190686644e-06,1.94783356720426e-07,3.1704154757890905e-06,0.751327496259478,0.0020495195837825875,3.0120284735383335e-06,3.1795950021394516e-06,6.0353389710448955e-09,3.357280978428279e-08,0.9879163312068849,0.005797425860419205,1.0556324517092868,1.0389230004082703,0.9848447976661154,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,300,319,309.60725806451615,1.4707778861807052e-06,3.319547071127023e-08,1.4375824154694348e-06,1.0434011840385246e-06,3.485458077024841e-07,1.893258464937279e-07,1.592199612087562e-07,2.6703094460016875e-06,1.9241543192002643e-07,2.8627248779217146e-06,0.7370127854587503,0.0008757569769216503,2.7012681557775827e-06,2.8711969050605034e-06,7.61870940812642e-09,3.3572809784282795e-08,0.9885391941893368,0.0041419938670983905,1.0629070271751697,1.0438530433279893,0.982947485329352,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,320,339,329.6007575757576,1.3283677239315262e-06,3.319547071127023e-08,1.2951722532202558e-06,9.524304976622881e-07,3.3485215884173455e-07,1.750971445345983e-07,1.5975501430713625e-07,2.422699895417142e-06,1.9295048501840648e-07,2.6156503804355492e-06,0.7231243405374018,0.0009104924246360023,2.4524819409983075e-06,2.625403314761948e-06,9.441532763306011e-09,3.3572809784282795e-08,0.9878563649814105,0.002866048980021943,1.0705087245997216,1.048148377411696,0.9802252556943463,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,340,359,349.595,1.1968938785045862e-06,3.319547071127023e-08,1.1636984077933158e-06,8.607337299443351e-07,3.157142356466604e-07,1.5916120295909868e-07,1.565530326875617e-07,2.1835933406967495e-06,1.8974850339883193e-07,2.3733418440955817e-06,0.7100215398549093,0.0019728243596809844,2.208881595232865e-06,2.3821885421401204e-06,1.1509510108156713e-08,3.357280978428279e-08,0.9885515572266563,0.005761666684286175,1.07845913845327,1.0529635493138054,0.9777820354619101,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,360,379,369.58986486486486,1.0975493807638584e-06,3.319547071127023e-08,1.064353910052588e-06,7.901260668041326e-07,3.0226778420801126e-07,1.4663806736344937e-07,1.556297168445619e-07,2.00111804422017e-06,1.8882518755583211e-07,2.1899432317760022e-06,0.696510123124251,0.001916167884106949,1.9845078081102707e-06,2.156662375331782e-06,1.3824739880167446e-08,3.357280978428277e-08,1.0083699525101473,0.0027386556332167074,1.0867492516370816,1.077778166879957,0.9935951409214728,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,380,399,389.5852564102564,9.951662959020317e-07,3.319547071127023e-08,9.619708251907614e-07,7.212619367726246e-07,2.8965543430306555e-07,1.3519609114284644e-07,1.544593431602191e-07,1.8184288531062325e-06,1.8765481387148933e-07,2.0060836669777225e-06,0.6831895695132352,0.0018760890818838433,1.8043071325612043e-06,1.976304228057465e-06,1.638571393543957e-08,3.357280978428278e-08,1.00782667223899,0.004240774998242814,1.0953258413672131,1.0818750054408575,0.9900412299531408,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,400,419,409.5810975609756,9.132569962589304e-07,3.319547071127023e-08,8.800615255476602e-07,6.601389332877658e-07,2.76637025436273e-07,1.2379345039857365e-07,1.5284357503769933e-07,1.6639939092339995e-06,1.8603904574896955e-07,1.8500329549829692e-06,0.6689500350776925,0.001533457240792378,1.6554252596978712e-06,1.8278439334683024e-06,1.918741050173874e-08,3.357280978428279e-08,1.0051761017212533,0.0038588968643976547,1.1041537047718475,1.083039855250622,0.9837439480763008,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,420,439,429.57732558139537,8.415958506452596e-07,3.319547071127023e-08,8.084003799339894e-07,6.136329650021519e-07,2.6860765188168826e-07,1.16447686407594e-07,1.5215996547409428e-07,1.5384810313437352e-06,1.853554361853645e-07,1.7238364675291e-06,0.658424893251455,0.0014391659996436561,1.516555126356381e-06,1.688274729603819e-06,2.2221472451847895e-08,3.3572809784282775e-08,1.0144577039148142,0.0040751895679555965,1.1132300437109761,1.0963443990939596,0.9883992295181571,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
